Link_Image,Cand_Name,Cand_Id,Cand_Office,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Coverage_End_Date,Cand_Street_1,Cand_Street_2,Cand_City,Cand_State,Cand_Zip,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX05052&tabIndex=1","ASHBY, KEN","H8TX05052","H","TX","04","LIB","CHALLENGER","0","0","0","0","","11837 LOCHWOOD BOULEVARD","","DALLAS","TX","75218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6OH00288&tabIndex=1","ECKHART, DON ELIJAH","S6OH00288","S","OH","00","REP","CHALLENGER","0","0","0","0","",",","",",","OH","43119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8CA00499&tabIndex=1","ZIESING, MICHAEL VINCENT","S8CA00499","S","CA","00","GRE","CHALLENGER","0","0","0","0","","1220 ALOHA ST","","RED BLUFF","CA","96080","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6MI03172&tabIndex=1","SMITH, DOUGLAS MARK MR. JR.","H6MI03172","H","MI","03","IND","CHALLENGER","0","3873.6","0","0","12/31/2018","1410 SCOTT CREEK DR.","","BELMONT","MI","49306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3873.6","0","0","0","0","0","0","0","0","0","0","0","0","3873.6","3873.6","0","01/01/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4CA42078&tabIndex=1","ROBERTS, BOYD LACHLAN","H4CA42078","H","CA","48","DEM","CHALLENGER","0","0","0","0","","668 N COAST HIGHWAY #199","","LAGUNA BEACH","CA","92651","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NJ07207&tabIndex=1","BROWN, LINDSAY CHRISTINE MRS.","H8NJ07207","H","NJ","07","REP","CHALLENGER","4365.06","7357.5","-2992.44","0","10/19/2018","352 WEST LN","","CLARK","NJ","07066","481.21","3883.85","4365.06","0","0","0","4365.06","0","0","0","0","0","0","0","0","7357.5","0","0","0","0","0","0","0","0","0","0","0","4365.06","7357.5","0","0","02/18/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8NC10113&tabIndex=1","COLLIAS, GINA","H8NC10113","H","NC","10","REP","CHALLENGER","28738.68","28679.57","59.11","15424.3","12/31/2018","PO BOX 2316","","KINGS MOUNTAIN","NC","28086","18585.18","5153.5","23738.68","5000","0","0","28738.68","0","0","0","0","0","0","0","0","28679.57","0","0","0","0","0","0","0","0","0","0","0","28738.68","28679.57","0","0","01/01/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL18092&tabIndex=1","DETERS, BRIAN","H8IL18092","H","IL","18","DEM","CHALLENGER","20583.09","19770.32","812.77","0","12/31/2018","1806 GREENFIELD DR","","MORTON","IL","61550","8831.1","10735.39","19566.49","200","0","816.6","20583.09","0","0","0","0","0","0","0","0","19670.32","0","0","0","0","0","0","100","0","0","100","0","20483.09","19670.32","0","0","09/03/2017"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN08068&tabIndex=1","RADINOVICH, JOSEPH","H8MN08068","H","MN","08","DFL","OPEN","2432206.52","2390502.73","41703.79","29900","12/31/2018","PO BOX 215","","CROSBY","MN","56441","1282545.94","449143.69","1731689.63","324564.16","750","3161.15","2060164.94","371748.28","0","0","0","293.3","0","0","0","2347542.61","0","0","0","0","0","0","27987.96","0","674.16","28662.12","14298","2031502.82","2347249.31","0","0","01/01/2018"
"http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MO02232&tabIndex=1","MESSMER, JOHN P.","H8MO02232","H","MO","02","DEM","CHALLENGER","14657.22","14657.22","288.19","4479","12/31/2018","10267 BUFFTON DR.","","ST. LOUIS","MO","63123","6425","3658","10083","0","0","175","10258","0","4399.22","0","4399.22","0","0","0","0","14448.81","0","0","0","208.41","0","208.41","0","0","0","0","0","10258","14448.81","0","0","08/01/2017"
