"business_id","Score","date","type"
19,96,"20180607","Routine - Unscheduled"
19,94,"20171211","Routine - Unscheduled"
19,94,"20160513","Routine - Unscheduled"
24,98,"20171101","Routine - Unscheduled"
24,98,"20161005","Routine - Unscheduled"
24,96,"20160311","Routine - Unscheduled"
31,,"20161020","Non-inspection site visit"
31,,"20160901","Reinspection/Followup"
31,98,"20151204","Routine - Unscheduled"
45,88,"20180529","Routine - Unscheduled"
45,85,"20170914","Routine - Unscheduled"
45,88,"20170307","Routine - Unscheduled"
45,84,"20160614","Routine - Unscheduled"
45,78,"20160104","Routine - Unscheduled"
45,,"20151230","Non-inspection site visit"
48,94,"20180216","Routine - Unscheduled"
48,94,"20160630","Routine - Unscheduled"
54,87,"20170215","Routine - Unscheduled"
56,98,"20180327","Routine - Unscheduled"
56,,"20170524","Non-inspection site visit"
56,,"20170518","Reinspection/Followup"
56,,"20170425","Non-inspection site visit"
56,92,"20170420","Routine - Unscheduled"
56,,"20161020","Complaint"
56,90,"20160802","Routine - Unscheduled"
56,,"20151230","Complaint Reinspection/Followup"
56,,"20151230","Reinspection/Followup"
56,88,"20151222","Routine - Unscheduled"
56,,"20151222","Complaint"
58,,"20171122","Reinspection/Followup"
58,70,"20170918","Routine - Unscheduled"
58,73,"20160407","Routine - Unscheduled"
61,94,"20171128","Routine - Unscheduled"
61,98,"20170124","Routine - Unscheduled"
61,94,"20160708","Routine - Unscheduled"
61,92,"20150827","Routine - Unscheduled"
66,98,"20180420","Routine - Unscheduled"
66,96,"20170703","Routine - Unscheduled"
66,,"20170530","Complaint"
66,100,"20160902","Routine - Unscheduled"
66,98,"20160322","Routine - Unscheduled"
66,100,"20150828","Routine - Unscheduled"
67,,"20180302","Reinspection/Followup"
67,88,"20180220","Routine - Unscheduled"
67,,"20171023","Reinspection/Followup"
67,,"20170807","Reinspection/Followup"
67,81,"20170804","Routine - Unscheduled"
67,,"20170804","Reinspection/Followup"
67,94,"20161019","Routine - Unscheduled"
67,,"20160707","Complaint"
67,,"20160408","Reinspection/Followup"
67,87,"20160401","Routine - Unscheduled"
73,,"20171207","Reinspection/Followup"
73,88,"20171129","Routine - Unscheduled"
73,,"20161017","Reinspection/Followup"
73,,"20161007","Reinspection/Followup"
73,92,"20160927","Routine - Unscheduled"
73,,"20150827","Reinspection/Followup"
73,,"20150720","Reinspection/Followup"
73,85,"20150717","Routine - Unscheduled"
76,100,"20171101","Routine - Unscheduled"
76,98,"20161005","Routine - Unscheduled"
76,100,"20160311","Routine - Unscheduled"
77,94,"20171101","Routine - Unscheduled"
77,96,"20161005","Routine - Unscheduled"
77,91,"20160311","Routine - Unscheduled"
80,96,"20171204","Routine - Unscheduled"
80,98,"20160412","Routine - Unscheduled"
81,,"20180320","New Ownership"
81,,"20180103","Non-inspection site visit"
81,98,"20171205","Routine - Unscheduled"
88,,"20171107","Reinspection/Followup"
88,,"20171025","Reinspection/Followup"
88,82,"20171016","Routine - Unscheduled"
88,92,"20170111","Routine - Unscheduled"
88,,"20161207","Non-inspection site visit"
88,,"20151006","Reinspection/Followup"
88,89,"20150824","Routine - Unscheduled"
95,92,"20180509","Routine - Unscheduled"
95,83,"20171016","Routine - Unscheduled"
95,92,"20170307","Routine - Unscheduled"
95,,"20160829","Reinspection/Followup"
95,86,"20160718","Routine - Unscheduled"
95,88,"20151210","Routine - Unscheduled"
98,94,"20171003","Routine - Unscheduled"
98,96,"20160316","Routine - Unscheduled"
98,94,"20150629","Routine - Unscheduled"
99,82,"20171207","Routine - Unscheduled"
99,,"20150818","Reinspection/Followup"
99,76,"20150811","Routine - Unscheduled"
101,92,"20180129","Routine - Unscheduled"
101,90,"20170627","Routine - Unscheduled"
101,98,"20160525","Routine - Unscheduled"
102,,"20180313","Reinspection/Followup"
102,86,"20180302","Routine - Unscheduled"
102,,"20180302","Complaint"
102,92,"20170728","Routine - Unscheduled"
102,,"20170728","Complaint"
102,85,"20161103","Routine - Unscheduled"
108,100,"20180604","Routine - Unscheduled"
108,,"20170106","Routine - Unscheduled"
116,96,"20170509","Routine - Unscheduled"
116,,"20170509","Complaint"
116,,"20160610","Reinspection/Followup"
116,76,"20160527","Routine - Unscheduled"
116,,"20150814","Non-inspection site visit"
